"Fecha","Datos"
"2025-03-20 22:09:00",1890.07
"2025-03-27 22:14:00",1990.86
"2025-03-30 23:09:00",2038.54
"2025-03-31 23:33:00",2055.55
"2025-04-01 23:13:00",2070.9
"2025-04-02 21:05:00",2083.8
"2025-04-09 23:15:00",2191.47
"2025-04-15 22:56:00",2289.98
"2025-04-16 22:41:00",2303.7
"2025-04-19 23:59:00",2339.07
"2025-04-21 22:35:00",2384.56
"2025-04-22 23:18:00",2399.95
"2025-04-24 23:54:00",2430.87
"2025-04-26 22:05:00",2459.15
"2025-04-28 23:13:00",2490.22
"2025-04-29 23:58:00",2505.96
"2025-04-30 20:13:00",2519.2
