"Fecha","Datos"
"2024-10-28 12:14:00",2.5
"2024-10-28 23:08:00",10.07
"2024-10-29 22:59:00",26.12
"2024-10-30 22:09:00",41.8
"2024-10-31 21:50:00",55.23
"2024-11-01 22:20:00",67.99
"2024-11-02 23:14:00",80.34
"2024-11-03 21:14:00",90.65
"2024-11-04 22:47:00",102.75
"2024-11-05 21:51:00",114.4
"2024-11-06 22:15:00",126.75
"2024-11-07 21:43:00",139.28
"2024-11-08 19:50:00",150.77
"2024-11-09 22:16:00",164.51
"2024-11-10 19:59:00",175.26
"2024-11-11 22:45:00",189.18
"2024-11-12 22:12:00",202.24
"2024-11-13 22:03:00",215.15
"2024-11-14 22:41:00",228.15
"2024-11-15 20:52:00",240.58
"2024-11-16 22:53:00",254.32
"2024-11-17 21:34:00",265.01
"2024-11-18 22:38:00",276.23
"2024-11-19 22:30:00",289.02
"2024-11-20 21:52:00",300.93
"2024-11-21 21:46:00",313.38
"2024-11-22 22:11:00",324.72
"2024-11-23 22:38:50",336.06
"2024-11-24 23:06:00",347.86
"2024-11-25 23:30:00",360.2
"2024-11-26 22:09:00",371.27
"2024-11-27 20:57:00",382.5
"2024-11-28 22:01:00",397.18
"2024-11-29 23:39:00",410.11
"2024-11-30 23:41:00",422.47
"2024-12-01 22:35:00",435.46
"2024-12-02 22:10:00",453.6
"2024-12-03 21:03:00",467.94
"2024-12-04 20:03:00",481.41
"2024-12-05 21:00:00",494.35
"2024-12-06 23:40:00",509.06
"2024-12-07 23:40:00",520.28
"2024-12-08 23:40:00",531.51
"2024-12-09 22:25:00",543.78
"2024-12-10 22:22:30",557.11
"2024-12-11 22:20:00",573.23
"2024-12-12 23:19:00",587.97
"2024-12-14 21:08:00",612.73
"2024-12-15 23:44:00",625.8
"2024-12-16 21:35:00",638.13
"2024-12-18 23:59:00",663.45
"2024-12-27 23:41:00",785.26
"2024-12-29 23:58:00",811.89
"2025-01-02 22:00:00",853.07
"2025-01-03 23:30:00",867.58
"2025-01-04 22:36:00",880.42
"2025-01-05 22:06:00",892.07
"2025-01-06 22:04:00",904.27
"2025-01-07 20:52:00",916.81
"2025-01-08 22:53:00",931.43
"2025-01-10 23:32:00",954.51
"2025-01-11 22:03:00",963.38
"2025-01-12 22:56:00",975.74
"2025-01-13 22:50:00",987.41
"2025-01-14 23:06:00",999.7
"2025-01-16 23:58:00",1022.26
"2025-01-19 23:21:00",1056.89
"2025-01-20 22:53:00",1068.69
"2025-01-21 22:41:00",1081.21
"2025-01-23 23:05:00",1106.9
"2025-01-26 22:34:00",1145.25
"2025-01-30 23:05:00",1213.68
"2025-01-31 21:03:00",1226.88
"2025-02-01 23:54:00",1241.88
"2025-02-02 22:08:00",1254.32
"2025-02-04 22:05:00",1283.01
"2025-02-05 22:15:00",1297.48
"2025-02-09 23:37:00",1344.96
"2025-02-10 22:19:00",1357.45
"2025-02-12 22:38:00",1382.18
"2025-02-13 22:06:00",1394.7
"2025-02-16 23:11:00",1440.1
"2025-02-17 22:47:00",1454.73
"2025-02-18 22:07:00",1468.77
"2025-02-20 23:06:00",1498.98
"2025-02-21 23:17:00",1513.87
"2025-02-23 22:48:00",1541.75
"2025-02-24 23:53:00",1557.6
"2025-02-25 22:26:00",1571.1
"2025-02-26 22:48:00",1586.73
"2025-03-04 21:52:00",1676.61
"2025-03-06 21:11:00",1705.81
"2025-03-07 22:22:00",1720.53
"2025-03-09 23:03:00",1750.89
