Datos,Fecha
"2,536.84",2025-05-01 23:51:00
"2,549.48",2025-05-02 20:02:21
"2,566.88",2025-05-03 23:32:00
"2,598.90",2025-05-05 22:19:00
"2,647.37",2025-08-05 22:08:00
"2,663.86",2025-09-05 23:29:00
"2,711.80",2025-12-05 23:54:00
"2,727.65",2025-05-13 22:57:00
"2,746.06",2025-05-14 23:44:00
"2,811.12",2025-05-18 22:44:00
"2,827.45",2025-05-19 22:45:00
"2,845.80",2025-05-20 23:09:00
